place_id,name,google_name,address,catchment,lat,lng,rating,review_count,price_level,price_label,website,phone,open_days,open_from,open_until,weekday_hours,scraped_at
ChIJl5iaDKVn1moRnvGY8cGzudM,Baba's Deli,Baba’s Deli,"295 Bay St, Port Melbourne VIC 3207, Australia",South Melbourne,-37.8369199,144.9435438,4.9,471,,—,https://www.babasdeli.com/,0422 088 295,7.0,7:00 AM,3:00 PM,Monday: 7:00 AM – 3:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: 7:00 AM – 3:00 PM | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: 7:00 AM – 3:00 PM | Sunday: 7:00 AM – 3:00 PM,2026-06-03T08:01:11.568739
ChIJpyHDUQBn1moRIForqRE1KRA,JUJU's Deli,JUJU’S DELI SOUTH MELBOURNE,"249 Coventry St, South Melbourne VIC 3205, Australia",South Melbourne,-37.832137,144.9596709,4.0,160,,—,https://www.instagram.com/jujus_deli/?hl=en,,7.0,8:00 AM,2:30 PM,Monday: 8:00 AM – 2:30 PM | Tuesday: 8:00 AM – 2:30 PM | Wednesday: 8:00 AM – 2:30 PM | Thursday: 8:00 AM – 2:30 PM | Friday: 8:00 AM – 2:30 PM | Saturday: 8:00 AM – 2:30 PM | Sunday: 8:00 AM – 2:30 PM,2026-06-03T08:01:19.990271
ChIJrc_-G2Nn1moRDaQFZXBsUfc,Deli Boy,Deli Boy,"182 York St, South Melbourne VIC 3205, Australia",South Melbourne,-37.8317057,144.9557536,4.6,167,,—,,,7.0,7:00 AM,3:00 PM,Monday: 7:00 AM – 3:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: 7:00 AM – 3:00 PM | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: 7:00 AM – 3:00 PM | Sunday: 7:00 AM – 3:00 PM,2026-06-03T08:01:27.944598
ChIJFwAfkgtD1moR_5JI0wN_i2c,Hugo's Deli,Hugo's Deli,"119 Swan St, Richmond VIC 3121, Australia",Richmond,-37.825212,144.995176,4.6,428,2.0,$$,http://hugosdeli.com.au/,,7.0,7:00 AM,2:30 PM,Monday: 7:00 AM – 2:30 PM | Tuesday: 7:00 AM – 2:30 PM | Wednesday: 7:00 AM – 2:30 PM | Thursday: 7:00 AM – 2:30 PM | Friday: 7:00 AM – 2:30 PM | Saturday: 7:00 AM – 2:30 PM | Sunday: 7:00 AM – 2:30 PM,2026-06-03T08:01:35.147906
ChIJVU7B_URD1moRGjsz348PpZc,Warkop Richmond,Warkop Richmond - Coffee & Sandwich,"12 Risley St, Richmond VIC 3121, Australia",Richmond,-37.8132637,144.9994925,4.7,230,,—,https://www.warkop.com.au/,(03) 9939 9678,6.0,7:00 AM,3:00 PM,Monday: 7:00 AM – 3:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: 7:00 AM – 3:00 PM | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: 8:00 AM – 2:00 PM | Sunday: Closed,2026-06-03T08:01:42.293372
ChIJBebCsFhD1moRIc4J6LzI0lY,Nico's Deli Fitzroy,Nico's Sandwich Deli,"100 Kerr St, Fitzroy VIC 3065, Australia",Fitzroy,-37.796903,144.9790298,4.5,725,,—,https://www.nicos.melbourne/,,7.0,8:00 AM,3:00 PM,Monday: 8:00 AM – 3:00 PM | Tuesday: 8:00 AM – 3:00 PM | Wednesday: 8:00 AM – 3:00 PM | Thursday: 8:00 AM – 3:00 PM | Friday: 8:00 AM – 3:00 PM | Saturday: 8:00 AM – 3:00 PM | Sunday: 8:00 AM – 3:00 PM,2026-06-03T08:01:51.904164
ChIJZxJITN9C1moREYQdvcj7Spc,Alimentari,Alimentari Delicatessen,"251 Brunswick St, Fitzroy VIC 3065, Australia",Fitzroy,-37.7997186,144.9780663,4.3,625,2.0,$$,https://alimentari.com.au/,(03) 9416 2001,7.0,8:00 AM,4:00 PM,Monday: 8:00 AM – 4:00 PM | Tuesday: 8:00 AM – 4:00 PM | Wednesday: 8:00 AM – 4:00 PM | Thursday: 8:00 AM – 4:00 PM | Friday: 8:00 AM – 4:00 PM | Saturday: 8:00 AM – 4:00 PM | Sunday: 8:00 AM – 4:00 PM,2026-06-03T08:01:58.797414
ChIJ5f6E0MND1moRP8oSQ1kKzrM,Stefanino Panino,Stefanino Panino e Vino,"Collingwood Yards, Unit 4/30 Perry St, Collingwood VIC 3066, Australia",Fitzroy,-37.799827,144.9856525,4.8,302,,—,http://stefaninopanino.com/,,6.0,9:00 AM,3:00 PM,"Monday: Closed | Tuesday: 9:00 AM – 3:00 PM | Wednesday: 9:00 AM – 3:00 PM | Thursday: 9:00 AM – 3:00 PM | Friday: 9:00 AM – 3:00 PM, 6:00 – 10:00 PM | Saturday: 9:00 AM – 3:00 PM | Sunday: 9:00 AM – 3:00 PM",2026-06-03T08:02:04.724329
ChIJW2qo2N5C1moR35xqWFq7hG8,Smith + Deli,Smith + Deli,"107 Cambridge St, Collingwood VIC 3066, Australia",Fitzroy,-37.80427630000001,144.9854776,4.6,1278,2.0,$$,http://www.smithanddeli.com/,(03) 9123 1711,6.0,9:00 AM,3:00 PM,Monday: Closed | Tuesday: 9:00 AM – 3:00 PM | Wednesday: 9:00 AM – 3:00 PM | Thursday: 9:00 AM – 3:00 PM | Friday: 9:00 AM – 3:00 PM | Saturday: 9:00 AM – 3:00 PM | Sunday: 9:00 AM – 3:00 PM,2026-06-03T08:02:09.339388
ChIJxd1CDwBD1moR1cWFAfJVf_0,Carlito's,Carlito's,"32 Stanley St, Collingwood VIC 3066, Australia",Fitzroy,-37.8020147,144.9851284,4.8,163,,—,https://www.instagram.com/carlitos.collingwood?igsh=NGRtbzdnZTlzNXA3,,5.0,10:00 AM,3:00 PM,Monday: Closed | Tuesday: Closed | Wednesday: 10:00 AM – 3:00 PM | Thursday: 10:00 AM – 3:00 PM | Friday: 10:00 AM – 3:00 PM | Saturday: 10:00 AM – 3:00 PM | Sunday: 10:00 AM – 3:00 PM,2026-06-03T08:02:14.886132
ChIJ4RKJE4FD1moRPGKruIcx1jU,Hi Fi By Terror Twilight,Hi Fi By Terror Twilight,"316 Smith St, Collingwood VIC 3066, Australia",Fitzroy,-37.799668,144.984373,4.5,176,,—,https://www.hificollingwood.com.au/,,7.0,8:00 AM,3:00 PM,Monday: 8:00 AM – 3:00 PM | Tuesday: 8:00 AM – 3:00 PM | Wednesday: 8:00 AM – 3:00 PM | Thursday: 8:00 AM – 3:00 PM | Friday: 8:00 AM – 3:00 PM | Saturday: 8:00 AM – 3:00 PM | Sunday: 8:00 AM – 3:00 PM,2026-06-03T08:02:21.265088
ChIJtVE1IQBd1moRaNAuqm9w_cM,FOC,FOC,"423 Little Collins St, Melbourne VIC 3000, Australia",CBD,-37.816228,144.960624,4.6,159,,—,,0424 252 430,,,,,2026-06-03T08:02:27.309061
ChIJiwCR_ftD1moRuSJbwgoyoCk,Nico's CBD (Stamford),Nico's Sandwich Deli (Stamford Hotel),"111 Little Collins St, Melbourne VIC 3000, Australia",CBD,-37.8135512,144.9699174,4.6,39,,—,https://www.nicos.melbourne/,,5.0,7:00 AM,2:00 PM,Monday: 7:00 AM – 2:00 PM | Tuesday: 7:00 AM – 2:00 PM | Wednesday: 7:00 AM – 2:00 PM | Thursday: 7:00 AM – 2:00 PM | Friday: 7:00 AM – 2:00 PM | Saturday: Closed | Sunday: Closed,2026-06-03T08:02:33.725155
ChIJibBMim9p1moR0tGFrSgz3ak,Sloppy Joe's,Sloppy Joe's Deli,"Shop 2/190 Queen St, Melbourne VIC 3000, Australia",CBD,-37.8140521,144.9605932,4.5,767,2.0,$$,https://www.facebook.com/Sloppyjoesdeli?mibextid=ZbWKwL,0493 080 659,7.0,7:30 AM,3:30 PM,Monday: 7:30 AM – 3:30 PM | Tuesday: 7:30 AM – 3:30 PM | Wednesday: 7:30 AM – 3:30 PM | Thursday: 7:30 AM – 3:30 PM | Friday: 7:30 AM – 3:30 PM | Saturday: 9:00 AM – 3:30 PM | Sunday: 9:00 AM – 3:30 PM,2026-06-03T08:02:40.268503
ChIJPZ_b6NJD1moRMeVrtzhvn38,Lil Lane,Lil Lane,"51 Queen St, Melbourne VIC 3000, Australia",CBD,-37.8177203,144.9617585,4.6,128,,—,https://lillane.com.au/,,5.0,8:30 AM,3:00 PM,Monday: 8:30 AM – 3:00 PM | Tuesday: 8:30 AM – 3:00 PM | Wednesday: 8:30 AM – 3:00 PM | Thursday: 8:30 AM – 3:00 PM | Friday: 8:30 AM – 3:00 PM | Saturday: Closed | Sunday: Closed,2026-06-03T08:02:47.633163
ChIJ9xtdDt1d1moRMQowO55_ohk,Nico's Healeys Lane,Nico's Sandwich Deli,"Healeys Ln, Melbourne VIC 3000, Australia",CBD,-37.8132427,144.9557721,4.5,291,,—,https://www.nicos.melbourne/,,5.0,10:00 AM,2:00 PM,Monday: 10:00 AM – 2:00 PM | Tuesday: 10:00 AM – 2:00 PM | Wednesday: 10:00 AM – 2:00 PM | Thursday: 10:00 AM – 2:00 PM | Friday: 10:00 AM – 2:00 PM | Saturday: Closed | Sunday: Closed,2026-06-03T08:02:54.512304
ChIJZTQuC7Rp1moRxL1EwSA_Nl8,pip's deli,pip's deli,"348 Chapel St, South Yarra VIC 3141, Australia",South Yarra,-37.8467317,144.9942783,4.7,153,,—,,,7.0,8:00 AM,4:00 PM,Monday: 8:00 AM – 4:00 PM | Tuesday: 8:00 AM – 4:00 PM | Wednesday: 8:00 AM – 4:00 PM | Thursday: 8:00 AM – 4:00 PM | Friday: 8:00 AM – 4:00 PM | Saturday: 8:00 AM – 4:00 PM | Sunday: 8:00 AM – 4:00 PM,2026-06-03T08:03:00.497821
ChIJbVI55YxD1moREP1D6lCeBO8,Warung Coffee,Warung Coffee,"667 Chapel St, South Yarra VIC 3141, Australia",South Yarra,-37.83633630000001,144.995991,4.8,335,,—,https://www.instagram.com/warungcoffeemelbourne/,,7.0,7:00 AM,3:00 PM,Monday: 7:00 AM – 3:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: 7:00 AM – 3:00 PM | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: 7:30 AM – 3:00 PM | Sunday: 7:30 AM – 3:00 PM,2026-06-03T08:03:07.209262
ChIJxfLvCXlD1moR2M9bHLz8kCc,Chubby Toast,Chubby Toast,"7 Claremont St, South Yarra VIC 3141, Australia",South Yarra,-37.8381775,144.9935025,4.9,83,,—,,(03) 9008 4582,7.0,10:00 AM,5:00 PM,Monday: 10:00 AM – 5:00 PM | Tuesday: 10:00 AM – 5:00 PM | Wednesday: 10:00 AM – 5:00 PM | Thursday: 10:00 AM – 5:00 PM | Friday: 10:00 AM – 5:00 PM | Saturday: 10:00 AM – 5:00 PM | Sunday: 10:00 AM – 5:00 PM,2026-06-03T08:03:12.052252
ChIJQdFa7oFD1moRu4CK8CvhXbs,Pickles Milk Bar,Pickles Milk Bar,"1008 Lygon St, Carlton North VIC 3054, Australia",Carlton,-37.782171,144.9703165,4.9,312,,—,https://picklesmilkbar.square.site/,,6.0,9:00 AM,3:00 PM,Monday: Closed | Tuesday: 9:00 AM – 3:00 PM | Wednesday: 9:00 AM – 3:00 PM | Thursday: 9:00 AM – 3:00 PM | Friday: 9:00 AM – 3:00 PM | Saturday: 9:00 AM – 3:00 PM | Sunday: 9:00 AM – 3:00 PM,2026-06-03T08:03:16.410205
